ID Afiliado;Nombre Afiliado;Edad;Ingresos;Antigüedad como afiliado (años);NIT Empresa empleadora;Nombre Empresa empleadora;Categoría;Departamento;Ciudad;Dirección de residencia;Número de hijos;Con quien vive;Tipo de vivienda;Tipo de suelo;Estado civil;Género;Tiene Mascotas
AF-000001;Isabella Luisa Díaz Bermúdez;43;$6.365.000;9;837358686-6;Demo Comercializadora Pacífico S.A.;B;Bogotá D.C.;Bogotá D.C.;Carrera 2 #23-33, Barrio El Prado;1;"Pareja; Hijos";Propia;Urbano;Casado;Mujer;Sí
AF-000002;Iván Bustos Acosta;55;$2.431.000;7;847968494-2;Demo Infraestructura Nacional Ltda.;A;Antioquia;Medellín;Diagonal 34 #119-49, Apto 1337, Barrio Centro;2;Pareja;Familiar;Urbano;Casado;Hombre;Sí
AF-000003;Mónica Gloria Navarro Salazar;65;$6.755.000;7;912308943-2;Demo Gestión Humana Avanza S.A.;B;Valle del Cauca;Cali;Carrera 68 #102-31, Apto 778, Barrio La Esperanza;3;"Pareja; Hijos";Propia;Urbano;Unión Libre;Mujer;Sí
AF-000004;Martín Ortiz Muñoz;42;$1.934.000;8;870289659-0;Demo Tecnología Prisma S.A.;A;Cundinamarca;Soacha;Calle 97 #18-10, Barrio La Floresta;3;Hijos;Arriendo;Urbano;Soltero;Hombre;No
AF-000005;Sebastián Acosta Quintero;56;$1.916.000;2;910242862-1;Demo Energía y Redes S.A.S.;A;Atlántico;Barranquilla;Carrera 122 #70-55, Apto 1399, Barrio La Esperanza;2;Hijos;Familiar;Urbano;Viudo;Hombre;No
AF-000006;Mónica Alejandra Castaño Quintero;45;$4.850.000;2;907599250-6;Demo Servicios Horizonte S.A.S.;B;Santander;Bucaramanga;Vereda La Cumbre, Finca La Esperanza, km 9;0;Pareja;Propia;Rural;Unión Libre;Mujer;No
AF-000007;Gabriela Acosta Valencia;26;$3.970.000;2;944833963-7;Demo Operaciones del Caribe SAS;B;Bolívar;Cartagena;Calle 19 #55-80, Barrio Los Alpes;0;Padres;Arriendo;Urbano;Soltero;Mujer;Sí
AF-000008;Yolanda Pardo Jiménez;59;$4.545.000;9;907432753-1;Demo Alimentos del Centro Ltda.;B;Norte de Santander;Cúcuta;Carrera 71 #51-16, Apto 1657, Barrio La Campiña;2;Hijos;Propia;Urbano;Casado;Mujer;No
AF-000009;Sandra Muñoz Castro;50;$2.395.000;10;977165882-2;Demo Ingeniería Integral S.A.S.;A;Risaralda;Pereira;Avenida 51 #113-45, Apto 1011, Barrio El Recreo;2;Abuelos;Familiar;Urbano;Separado;Mujer;Sí
AF-000010;David Salazar Gómez;28;$2.625.000;2;947019021-4;Demo Logística Andina SAS;A;Caldas;Manizales;Calle 158 #62-69, Barrio El Recreo;1;Hijos;Propia;Urbano;Soltero;Hombre;Sí
AF-000011;Elena Cifuentes Molina;45;$4.399.000;1;870289659-0;Demo Tecnología Prisma S.A.;B;Quindío;Armenia;Avenida 126 #19-47, Barrio Las Palmas;2;Hijos;Arriendo;Urbano;Soltero;Mujer;Sí
AF-000012;Álvaro Quintero Muñoz;49;$2.523.000;2;818143241-1;Demo Tecnología Prisma S.A.;A;Tolima;Ibagué;Calle 156 #115-5, Barrio La Victoria;1;"Pareja; Hijos";Propia;Urbano;Casado;Hombre;No
AF-000013;Miguel Jonathan Herrera Herrera;39;$13.411.000;3;999037645-5;Demo Alimentos y Bebidas Origen S.A.S.;C;Huila;Neiva;Carrera 50 #45-19, Apto 702, Barrio El Porvenir;2;"Pareja; Hijos";Propia;Urbano;Unión Libre;Hombre;Sí
AF-000014;Juan Iván Pineda Jiménez;49;$2.480.000;3;876089951-0;Demo Educación Futuro S.A.S.;A;Meta;Villavicencio;Avenida 149 #31-84, Barrio La Esperanza;2;Hijos;Propia;Urbano;Unión Libre;Hombre;No
AF-000015;Jorge Muñoz Castaño;27;$2.503.000;3;907599250-6;Demo Servicios Horizonte S.A.S.;A;Cesar;Valledupar;Diagonal 110 #47-19, Apto 1507, Barrio El Bosque;2;"Abuelos; Padres; Pareja; Hijos";Arriendo;Urbano;Unión Libre;Hombre;Sí
AF-000016;Yolanda Castro Acosta;33;$4.338.000;3;874270675-1;Demo Servicios Financieros Demo S.A.S.;B;Magdalena;Santa Marta;Carrera 26 #58-78, Barrio La Esperanza;0;"Padres; Pareja";Propia;Urbano;Casado;Mujer;Sí
AF-000017;Diego Medina Vargas;53;$2.419.000;14;983800144-1;Demo Agroindustria del Valle SAS;A;Córdoba;Montería;Carrera 89 #1-2, Barrio El Prado;3;Hijos;Familiar;Urbano;Separado;Hombre;Sí
AF-000018;Juliana Claudia Arias Parra;26;$4.669.000;2;921244871-7;Demo Redes y Conectividad S.A.;B;Sucre;Sincelejo;Carrera 44 #18-69, Barrio Centro;0;Pareja;Arriendo;Urbano;Unión Libre;Mujer;Sí
AF-000019;Manuel Torres Jiménez;33;$2.322.000;1;987942517-9;Demo Servicios Empresariales Nexo S.A.;A;Nariño;Pasto;Carrera 167 #55-58, Barrio San José;0;Padres;Propia;Urbano;Soltero;Hombre;Sí
AF-000020;Fernanda Carolina Castaño Jiménez;34;$6.125.000;3;876530833-0;Demo Agroservicios Llanos SAS;B;Cauca;Popayán;Transversal 148 #67-68, Barrio El Porvenir;0;Padres;Arriendo;Urbano;Soltero;Mujer;Sí
AF-000021;Brayan Ruiz León;38;$2.369.000;4;907599250-6;Demo Servicios Horizonte S.A.S.;A;Boyacá;Tunja;Diagonal 69 #44-84, Apto 479, Barrio El Prado;0;"Abuelos; Pareja";Familiar;Urbano;Unión Libre;Hombre;No
AF-000022;Catalina Montoya Bustos;44;$2.471.000;2;907599250-6;Demo Servicios Horizonte S.A.S.;A;La Guajira;Riohacha;Diagonal 152 #106-22, Barrio El Porvenir;2;Hijos;Arriendo;Urbano;Separado;Mujer;Sí
AF-000023;Camilo Wilson López Arias;39;$2.317.000;7;900723063-1;Demo Farmacéutica Horizonte Ltda.;A;Chocó;Quibdó;Transversal 44 #54-12, Barrio Santa Ana;2;"Padres; Hijos";Familiar;Urbano;Soltero;Hombre;No
AF-000024;Adriana Parra Cifuentes;27;$2.035.000;8;818143241-1;Demo Tecnología Prisma S.A.;A;Caquetá;Florencia;Diagonal 25 #96-55, Barrio La Arboleda;1;"Padres; Hijos";Arriendo;Urbano;Soltero;Mujer;No
AF-000025;Jorge Sebastián González Acosta;33;$2.676.000;1;976203596-0;Demo Alimentos del Centro Ltda.;A;Casanare;Yopal;Carrera 178 #79-63, Apto 1037, Barrio Centro;0;Padres;Arriendo;Urbano;Separado;Hombre;Sí
AF-000026;Diego Carlos Arias Romero;34;$3.314.000;4;875123122-3;Demo Gestión Humana Avanza S.A.;A;Arauca;Arauca;Diagonal 21 #46-77, Barrio La Floresta;0;Padres;Propia;Urbano;Soltero;Hombre;Sí
AF-000027;Diego Javier Romero Muñoz;50;$4.936.000;1;869105379-0;Demo Distribuciones Altamira Ltda.;B;Putumayo;Mocoa;Vereda Santa Helena, Finca Santa María, km 5;1;"Pareja; Hijos";Propia;Rural;Casado;Hombre;Sí
AF-000028;David Gómez Salazar;35;$2.182.000;4;959637409-2;Demo Logística Andina SAS;A;San Andrés, Providencia y Santa Catalina;San Andrés;Avenida 8 #51-79, Barrio La Campiña;3;"Pareja; Hijos";Arriendo;Urbano;Casado;Hombre;Sí
AF-000029;Santiago Pardo Caicedo;49;$6.622.000;9;977165882-2;Demo Ingeniería Integral S.A.S.;B;Amazonas;Leticia;Avenida 130 #80-40, Apto 1335, Barrio El Bosque;3;"Pareja; Hijos";Propia;Urbano;Casado;Hombre;Sí
